행정구역,2026년06월_계_총인구수,2026년06월_계_연령구간인구수,2026년06월_계_0~9세,2026년06월_계_10~19세,2026년06월_계_20~29세,2026년06월_계_30~39세,2026년06월_계_40~49세,2026년06월_계_50~59세,2026년06월_계_60~69세,2026년06월_계_70~79세,2026년06월_계_80~89세,2026년06월_계_90~99세,2026년06월_계_100세 이상,2026년06월_남_총인구수,2026년06월_남_연령구간인구수,2026년06월_남_0~9세,2026년06월_남_10~19세,2026년06월_남_20~29세,2026년06월_남_30~39세,2026년06월_남_40~49세,2026년06월_남_50~59세,2026년06월_남_60~69세,2026년06월_남_70~79세,2026년06월_남_80~89세,2026년06월_남_90~99세,2026년06월_남_100세 이상,2026년06월_여_총인구수,2026년06월_여_연령구간인구수,2026년06월_여_0~9세,2026년06월_여_10~19세,2026년06월_여_20~29세,2026년06월_여_30~39세,2026년06월_여_40~49세,2026년06월_여_50~59세,2026년06월_여_60~69세,2026년06월_여_70~79세,2026년06월_여_80~89세,2026년06월_여_90~99세,2026년06월_여_100세 이상
전국  (0000000000),"51,091,769","51,091,769","2,890,297","4,618,000","5,559,761","6,699,066","7,511,531","8,601,273","7,983,806","4,682,921","2,150,409","385,664","9,041","25,418,248","25,418,248","1,481,545","2,369,325","2,882,869","3,506,456","3,826,399","4,334,103","3,943,551","2,165,221","812,692","94,582","1,505","25,673,521","25,673,521","1,408,752","2,248,675","2,676,892","3,192,610","3,685,132","4,267,170","4,040,255","2,517,700","1,337,717","291,082","7,536"
서울특별시  (1100000000),"9,289,813","9,289,813","453,265","716,175","1,232,287","1,469,771","1,355,706","1,461,205","1,316,536","850,440","374,484","58,475","1,469","4,471,801","4,471,801","232,823","364,893","574,435","733,901","669,845","717,799","625,291","382,563","152,996","16,938",317,"4,818,012","4,818,012","220,442","351,282","657,852","735,870","685,861","743,406","691,245","467,877","221,488","41,537","1,152"
부산광역시  (2600000000),"3,232,370","3,232,370","165,292","266,032","330,103","388,502","455,808","523,555","551,101","375,719","153,802","21,978",478,"1,570,097","1,570,097","84,626","135,999","168,075","200,912","230,885","257,103","259,023","168,273","59,742","5,399",60,"1,662,273","1,662,273","80,666","130,033","162,028","187,590","224,923","266,452","292,078","207,446","94,060","16,579",418
대구광역시  (2700000000),"2,348,165","2,348,165","130,923","212,793","247,258","285,821","331,806","408,408","381,859","230,854","101,395","16,741",307,"1,149,388","1,149,388","67,231","108,935","129,542","152,192","165,993","199,030","182,448","102,321","37,430","4,220",46,"1,198,777","1,198,777","63,692","103,858","117,716","133,629","165,813","209,378","199,411","128,533","63,965","12,521",261
인천광역시  (2800000000),"3,061,002","3,061,002","186,543","276,030","330,992","433,555","472,981","514,311","479,431","244,245","103,199","19,169",546,"1,528,323","1,528,323","95,783","141,269","170,460","226,592","244,000","257,266","236,000","113,805","38,617","4,448",83,"1,532,679","1,532,679","90,760","134,761","160,532","206,963","228,981","257,045","243,431","130,440","64,582","14,721",463
광주광역시  (2900000000),"1,385,460","1,385,460","83,427","142,885","165,942","173,903","209,677","239,520","196,474","112,511","52,197","8,732",192,"683,328","683,328","42,546","73,526","86,680","90,636","104,671","118,751","94,176","50,060","20,101","2,155",26,"702,132","702,132","40,881","69,359","79,262","83,267","105,006","120,769","102,298","62,451","32,096","6,577",166
대전광역시  (3000000000),"1,442,034","1,442,034","85,060","135,827","185,483","196,767","206,836","241,715","209,185","119,844","51,872","9,234",211,"718,127","718,127","43,739","69,552","96,636","104,803","103,948","120,428","101,607","55,069","19,995","2,316",34,"723,907","723,907","41,321","66,275","88,847","91,964","102,888","121,287","107,578","64,775","31,877","6,918",177
울산광역시  (3100000000),"1,087,089","1,087,089","65,169","108,812","106,730","136,932","167,127","195,449","181,784","90,008","30,345","4,632",101,"560,549","560,549","33,340","56,615","61,631","76,150","87,043","97,748","92,017","43,370","11,627",998,10,"526,540","526,540","31,829","52,197","45,099","60,782","80,084","97,701","89,767","46,638","18,718","3,634",91
세종특별자치시  (3600000000),"390,923","390,923","37,316","54,224","36,172","56,878","75,664","60,149","39,803","20,458","8,358","1,866",35,"194,731","194,731","18,967","27,500","18,692","28,184","36,975","31,168","19,774","9,839","3,206",419,7,"196,192","196,192","18,349","26,724","17,480","28,694","38,689","28,981","20,029","10,619","5,152","1,447",28
경기도  (4100000000),"13,761,783","13,761,783","872,921","1,326,163","1,526,085","1,937,513","2,167,602","2,358,937","1,996,681","1,028,640","461,925","83,201","2,115","6,908,300","6,908,300","446,995","677,516","796,780","1,016,745","1,107,338","1,185,372","996,705","480,369","178,578","21,486",416,"6,853,483","6,853,483","425,926","648,647","729,305","920,768","1,060,264","1,173,565","999,976","548,271","283,347","61,715","1,699"
